id,type,name,creator,starring,year,rating,time,genres,country,describle
81416533,movie,heart of stone,guillermo del toro,"gal gadot, jamie dornan, alia bhatt",2023,tv-pg,125 min,"drama movies ,action & adventure movies ,spy movies",united states,an intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.
80991406,movie,johnny english strikes again,guillermo del toro,"rowan atkinson, ben miller, emma thompson",2018,tv-pg,88 min,"family movies ,comedy movies ,action & adventure movies ,spy movies",united states,"after a cyberattack exposes every undercover agent in britain, a certain tech-challenged former agent emerges from retirement to catch the hacker."
81644420,movie,hunt,guillermo del toro,"lee jung-jae, jung woo-sung, jeon hye-jin",2022,tv-14,125 min,"drama movies ,action & adventure movies ,spy movies",south korea,"as a pair of national security agents hunt a north korean spy planted in their agency, they begin to uncover a truth with nation-shaking consequences."
70208104,movie,safe house,guillermo del toro,"denzel washington, ryan reynolds, vera farmiga",2012,tv-14,114 min,"action & adventure movies ,spy movies",united states,cia operative matt weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a more secure location.
70297761,movie,commitment,guillermo del toro,"choi seung-hyun, han ye-ri, yoon je-moon",2013,tv-14,112 min,"action & adventure movies ,spy movies",south korea,"after taking on a spying mission to free his sister from a labor camp, a 19-year-old north korean becomes a target of his own government."
81030199,movie,switch,guillermo del toro,"andy lau, lin chi-ling, zhang jingchu",2013,tv-ma,112 min,"action & adventure movies ,spy movies",china,"thieves, cops, organized criminals and rollerblading assassins fight tooth and nail around the world for a valuable ancient painting."
81478004,movie,yaksha: ruthless operations,guillermo del toro,"sul kyung-gu, park hae-soo, hiroyuki ikeuchi",2022,tv-14,125 min,"crime movies ,action & adventure movies ,spy movies",south korea,"on assignment in a perilous city to inspect a black ops team and its notorious leader, an upstanding prosecutor steps into a deadly war between spies."
81387252,movie,codename: tiranga,guillermo del toro,"parineeti chopra, harrdy sandhu, sharad kelkar",2022,tv-14,134 min,"bollywood movies ,action & adventure movies ,spy movies",india,"tasked with capturing a wanted criminal, a fierce undercover agent wrestles with perilously high stakes when her heart is pulled into the mission."
80170988,movie,atomic blonde,guillermo del toro,"charlize theron, james mcavoy, eddie marsan",2017,tv-ma,114 min,"action & adventure movies ,spy movies",united states,"after another spy's murder, mi6 operative lorraine broughton must find a missing list of double agents, identify a traitor and escape with her life."
70284278,movie,jack ryan: shadow recruit,guillermo del toro,"chris pine, keira knightley, kevin costner",2014,tv-pg,106 min,"action & adventure movies ,spy movies",united states,"while working undercover on wall street, cia analyst jack ryan uncovers a terrorist plot to bring down the american economy."
70270715,movie,the berlin file,guillermo del toro,"ha jung-woo, han seok-kyu, ryoo seung-bum",2013,tv-14,120 min,"action & adventure movies ,spy movies",south korea,"when an illicit arms deal goes bad, north korean spy pyo jong-seong finds himself targeted not just by the south koreans but also his own bosses."
80080490,movie,the throwaways,guillermo del toro,"sam huntington, katie mcgrath, kevin dillon",2015,tv-14,87 min,"comedy movies ,action & adventure movies ,spy movies",united states,"given a choice between assisting the cia or life in prison, a notorious hacker agrees to help the government and recruits a team of misfits to assist."
80065809,movie,iris new generation: the movie,guillermo del toro,"jang hyuk, lee da-hae, yoon du-jun",2013,tv-14,118 min,"crime movies ,action & adventure movies ,spy movies",south korea,a team of covert security operatives must stop terrorist assassins from sabotaging a peace conference between north korea and south korea.
80232040,movie,the spy who dumped me,guillermo del toro,"mila kunis, kate mckinnon, sam heughan",2018,tv-ma,116 min,"comedy movies ,action & adventure movies ,spy movies",united states,"dumped and deceived, audrey discovers her ex is a spy. fortunately, best friend morgan has her back as they set off on a mission to save the world."
80159955,movie,force 2,guillermo del toro,"john abraham, sonakshi sinha, tahir raj bhasin",2016,tv-ma,123 min,"bollywood movies ,action & adventure movies ,spy movies",india,"an ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from india's embassy in budapest."
81034600,movie,shadow,guillermo del toro,"deng chao, sun li, zheng kai",2018,tv-14,115 min,"military movies ,drama movies ,martial arts movies ,movies based on books ,period pieces ,action & adventure movies",china,"as three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court."
80218506,movie,the woman king,guillermo del toro,"viola davis, thuso mbedu, lashana lynch",2022,tv-14,135 min,"military movies ,drama movies ,period pieces ,action & adventure movies ,social issue dramas",united states,"in the 1820s, a battle-tested general trains a new generation of female warriors to protect their kingdom from a powerful foe. inspired by true events."
81110665,movie,midway,guillermo del toro,"ed skrein, patrick wilson, woody harrelson",2019,tv-14,138 min,"military movies ,drama movies ,movies based on real life ,action & adventure movies",united states,a gritty united states navy must face off against an imposing imperial japanese navy in a decisive wwii battle for control of the pacific.
81041495,movie,mosul,guillermo del toro,"suhail dabbach, adam bessa, is'haq elias",2020,tv-14,102 min,"middle eastern movies ,military movies ,drama movies ,movies based on real life ,action & adventure movies",united states,"after his life is saved by a rogue iraqi squadron, a young police officer joins them in their fight against isis in a decimated mosul."
81557402,movie,blood & gold,guillermo del toro,"robert maaser, marie hacke, alexander scheer",2023,tv-ma,98 min,"military movies ,drama movies ,action & adventure movies",germany,"at the bitter end of wwii, a german deserter and a young woman are drawn into bloody battle with a group of nazis hunting for hidden gold."
80226234,movie,steel rain,guillermo del toro,"jung woo-sung, kwak do-won, kim gap-soo",2018,tv-ma,139 min,"military movies ,drama movies ,action & adventure movies",south korea,"amid a coup, a north korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a korean war."
80196613,movie,12 strong,guillermo del toro,"chris hemsworth, michael shannon, michael peña",2018,tv-ma,129 min,"military movies ,drama movies ,movies based on books ,movies based on real life ,action & adventure movies",united states,"following 9/11, a dozen us soldiers mount up on horseback in afghanistan to help a local warlord take on a mutual enemy. inspired by true events."
80220426,movie,black crab,guillermo del toro,"noomi rapace, jakob oftebro, erik enge",2022,tv-14,114 min,"military movies ,movies based on books ,action & adventure movies",sweden,"to end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo."
81212831,movie,double world,guillermo del toro,"henry lau, peter ho, lin chenhan",2020,tv-14,110 min,"military movies ,period pieces ,action & adventure movies",china,"keen to bring honor to his clan, young villager dong yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle."
81153955,movie,kingdom,guillermo del toro,"kento yamazaki, ryo yoshizawa, masami nagasawa",2019,tv-14,133 min,"military movies ,period pieces ,action & adventure movies",japan,"after his friend dies in service to the king, a war orphan takes up his sword and vows to seek justice by restoring the deposed king to the throne."
81388316,movie,interceptor,guillermo del toro,"elsa pataky, luke bracey, aaron glenane",2022,tv-14,98 min,"military movies ,action & adventure movies",australia,the last officer standing on a remote missile defense base wages the battle of her life against terrorists aiming 16 stolen nuclear weapons at the us.
70266110,movie,company of heroes,guillermo del toro,"tom sizemore, chad michael collins, vinnie jones",2013,tv-ma,100 min,"military movies ,drama movies ,action & adventure movies",united states,"during the last major german offensive of world war ii, a group of allied soldiers sets out against all odds to turn the war around."
81410784,movie,sas: rise of the black swan,guillermo del toro,"sam heughan, ruby rose, andy serkis",2021,tv-ma,125 min,"military movies ,movies based on books ,action & adventure movies",united kingdom,"a special forces operative traveling from london to paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
81631722,movie,kingdom2: far and away,guillermo del toro,"kento yamazaki, ryo yoshizawa, kanna hashimoto",2022,tv-14,134 min,"military movies ,period pieces ,action & adventure movies",japan,"an ambitious young war orphan, with no battlefield experience, joins the ragtag infantry attempting to fight off the far-superior invading army."
80098200,movie,spectral,guillermo del toro,"james badge dale, emily mortimer, bruce greenwood",2016,tv-14,108 min,"sci-fi movies ,military movies ,action & adventure movies",united states,"when an otherworldly force wreaks havoc on a war-torn european city, an engineer teams up with an elite special ops unit to stop it."
81582615,movie,medieval,guillermo del toro,"ben foster, sophie lowe, matthew goode",2022,tv-ma,126 min,"military movies ,drama movies ,period pieces ,movies based on real life ,action & adventure movies",czech republic,a righteous mercenary leader seizes his destiny as he wages war against the armies of the teutonic order and the holy roman empire.
80993331,movie,hunter killer,guillermo del toro,"gerard butler, gary oldman, common",2018,tv-ma,116 min,"military movies ,movies based on books ,action & adventure movies",united states,"when the russian president gets kidnapped in a coup, an american submarine captain leads a rescue mission in the hopes of avoiding all-out war."
81067756,movie,dynasty warriors,guillermo del toro,"wang kai, louis koo, han geng",2021,tv-14,120 min,"military movies ,movies based on books ,action & adventure movies",china,"warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""romance of the three kingdoms."""
81166791,movie,the forgotten battle,guillermo del toro,"gijs blom, jamie flatters, susan radder",2021,tv-ma,127 min,"military movies ,drama movies ,action & adventure movies",netherlands,"during wwii's crucial battle of the scheldt, the lives of a glider pilot, a nazi soldier and a reluctant resistance recruit tragically intersect."
80091138,movie,jarhead 3: the siege,guillermo del toro,"scott adkins, charlie weber, dante basco",2016,tv-ma,89 min,"military movies ,drama movies ,action & adventure movies",united states,"after a u.s. embassy comes under attack, unsuspecting marines guarding the compound are swept into a ferocious battle to protect civilian lives."
81577427,movie,mat kilau,guillermo del toro,"adi putra, beto kusyairy, fattah amin",2022,tv-14,117 min,"military movies ,drama movies ,period pieces ,action & adventure movies ,social issue dramas",malaysia,"after british armies invade pahang, a legendary warrior leads his people into guerilla warfare to protect their home from the threat of colonization."
80118916,movie,sand castle,guillermo del toro,"nicholas hoult, logan marshall-green, henry cavill",2017,tv-ma,113 min,"military movies ,drama movies ,independent movies ,movies based on real life ,action & adventure movies",united states,"after the invasion of iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system."
70305907,movie,fury,guillermo del toro,"brad pitt, shia labeouf, logan lerman",2014,tv-ma,134 min,"military movies ,drama movies ,action & adventure movies",united states,"in the chaotically violent final days of world war ii, an american tank commander and his crew venture behind enemy lines on a life-or-death mission."
81631030,movie,air force the movie: danger close,guillermo del toro,"aiman hakim ridza, adi putra, nas-t",2022,tv-pg,103 min,"military movies ,drama movies ,action & adventure movies",malaysia,"after a militia group shoots down a special forces aircraft, nine survivors must hold out on the ground while a rescue mission is devised."
80011706,movie,the admiral: roaring currents,guillermo del toro,"choi min-sik, ryu seung-ryong, cho jin-woong",2014,tv-ma,109 min,"military movies ,drama movies ,period pieces ,movies based on real life ,action & adventure movies",south korea,"with the odds stacked against him, a korean admiral defends his land against the japanese by luring the enemy's massive armada into a deadly trap."
80190859,movie,outlaw king,guillermo del toro,"chris pine, aaron taylor-johnson, florence pugh",2018,tv-ma,121 min,"military movies ,drama movies ,period pieces ,movies based on real life ,action & adventure movies",united states,"in 14th-century scotland, robert the bruce claims the crown and leads a fierce uprising to win back the country's independence from english rule."
81204150,movie,the battle of jangsari,guillermo del toro,"kim myung-min, choi min-ho, kim sung-cheol",2019,tv-14,103 min,"military movies ,drama movies ,action & adventure movies",south korea,"during the korean war, 772 ill-trained south korean student soldiers stage a perilous mission to divert north korean attention to jangsari beach."
70260990,movie,the last supper,guillermo del toro,"liu ye, daniel wu, chang chen",2012,tv-14,116 min,"military movies ,drama movies ,period pieces ,action & adventure movies",china,"after the fall of the qin dynasty, alliances form and fracture as the ambitious han dynasty founder liu bang battles for supremacy in ancient china."
80041653,movie,the siege of jadotville,guillermo del toro,"jamie dornan, guillaume canet, emmanuelle seigner",2016,tv-ma,108 min,"military movies ,drama movies ,movies based on books ,movies based on real life ,action & adventure movies",ireland,"besieged by overwhelming enemy forces, irish soldiers on a u.n. peacekeeping mission in africa valiantly defend their outpost in this true story."
81242574,movie,major (hindi),guillermo del toro,"adivi sesh, prakash raj, sobhita dhulipala",2022,tv-14,145 min,"military movies ,drama movies ,movies based on real life ,action & adventure movies",india,"this biopic follows the life of indian army officer major sandeep unnikrishnan, from his childhood to his heroic actions during the 2008 mumbai attacks."
81292944,movie,gunjan saxena: the kargil girl,guillermo del toro,"janhvi kapoor, pankaj tripathi, angad bedi",2020,tv-pg,112 min,"bollywood movies ,military movies ,drama movies ,action & adventure movies ,social issue dramas",india,flight lieutenant gunjan saxena makes history in her journey from aspiring aviator to india’s first female combat pilot in the kargil war.
81256747,movie,robbing mussolini,guillermo del toro,"pietro castellitto, matilda de angelis, filippo timi",2022,tv-ma,90 min,"military movies ,crime movies ,drama movies ,action & adventure movies",italy,"at the end of wwii, a ragtag group of resistance fighters plans an impossible heist: to steal mussolini’s treasure from milan’s fascist headquarters."
81242575,movie,major (telugu),guillermo del toro,"adivi sesh, prakash raj, sobhita dhulipala",2022,tv-14,145 min,"military movies ,drama movies ,movies based on real life ,action & adventure movies",india,"this biopic follows the life of indian army officer major sandeep unnikrishnan, from his childhood to his heroic actions during the 2008 mumbai attacks."
81045635,movie,da 5 bloods,guillermo del toro,"delroy lindo, jonathan majors, clarke peters",2020,tv-ma,155 min,"music ,military movies ,drama movies ,action & adventure movies",united states,four african american veterans return to vietnam decades after the war to find their squad leader's remains — and a stash of buried gold. from spike lee.
70217912,movie,snow white & the huntsman,guillermo del toro,"kristen stewart, chris hemsworth, charlize theron",2012,tv-14,127 min,"movies based on books ,action & adventure movies",united states,"in this updated take on the fairy tale, a hunter sent to capture an escaped snow white instead becomes her mentor in a quest to defeat the wicked queen."
81002747,movie,spider-man: into the spider-verse,guillermo del toro,"shameik moore, jake johnson, hailee steinfeld",2018,tv-pg,116 min,"sci-fi movies ,action & adventure movies",united states,"after being bitten by a radioactive spider, brooklyn teen miles morales gets a crash course in web-slinging from his alternate-dimension counterparts."
70262639,movie,world war z,guillermo del toro,"brad pitt, mireille enos, daniella kertesz",2013,tv-ma,117 min,"sci-fi movies ,horror movies ,movies based on books ,action & adventure movies",united states,"when a zombie pandemic threatens to destroy humanity, a former un investigator goes on a perilous global journey to track down the source of the virus."
80164399,movie,transformers: the last knight,guillermo del toro,"mark wahlberg, anthony hopkins, josh duhamel",2017,tv-pg,155 min,"sci-fi movies ,action & adventure movies",united states,"after optimus prime takes a dark turn, cade yeager joins forces with a group of autobots to stop a villainous plot to destroy earth."
70208107,movie,47 ronin,guillermo del toro,"keanu reeves, hiroyuki sanada, ko shibasaki",2013,tv-14,118 min,action & adventure movies,united states,this action-adventure follows the exploits of 47 samurai warriors who plot to exact revenge on a court official responsible for their master's death.
